question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic
"What is the supreme law of the land?","The Declaration of Independence","The Constitution","The Bill of Rights","The Federalist Papers","B","The Constitution is the supreme law of the United States.","Government"
"Who wrote the Declaration of Independence?","George Washington","Thomas Jefferson","Benjamin Franklin","John Adams","B","Thomas Jefferson was the primary author of the Declaration of Independence.","History"
"What are the first 10 amendments to the Constitution called?","The Articles of Confederation","The Bill of Rights","The Federalist Papers","The Declaration of Rights","B","The first 10 amendments are called the Bill of Rights.","Government"
"How many amendments does the Constitution have?","25","26","27","28","C","The Constitution has 27 amendments.","Government"
"What is the economic system in the United States?","Socialist economy","Communist economy","Capitalist economy","Mixed economy","C","The United States has a capitalist/market economy.","Government"
"Who is the Commander in Chief of the military?","The Secretary of Defense","The Chairman of Joint Chiefs","The President","The Vice President","C","The President serves as Commander in Chief of the military.","Government"
"How many U.S. Senators are there?","50","100","435","538","B","There are 100 U.S. Senators (2 from each state).","Government"
"For how long do we elect a U.S. Representative?","2 years","4 years","6 years","8 years","A","U.S. Representatives serve 2-year terms.","Government"
"What is the capital of the United States?","New York","Philadelphia","Washington D.C.","Boston","C","Washington D.C. is the capital of the United States.","Geography"
"When was the Constitution written?","1776","1781","1787","1791","C","The Constitution was written in 1787.","History"
"What happened at the Constitutional Convention?","The Declaration of Independence was written","The Constitution was written","The Bill of Rights was written","The Articles of Confederation were written","B","The Constitution was written at the Constitutional Convention.","History"
"The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.","James Madison","George Washington","John Adams","Thomas Jefferson","A","James Madison was one of the writers of the Federalist Papers.","History"
"What is one thing Benjamin Franklin is famous for?","U.S. diplomat","oldest member of the Constitutional Convention","first Postmaster General of the United States","writer of Poor Richard's Almanack","A","Benjamin Franklin was a U.S. diplomat (among many other things).","History"
"Who is the father of Our Country?","Benjamin Franklin","George Washington","Thomas Jefferson","John Adams","B","George Washington is called the father of Our Country.","History"
"Who was the first President?","Benjamin Franklin","George Washington","Thomas Jefferson","John Adams","B","George Washington was the first President.","History"
"What territory did the United States buy from France in 1803?","Alaska","Texas","Louisiana Territory","Florida","C","The United States bought the Louisiana Territory from France in 1803.","History"
"Name one war fought by the United States in the 1800s.","Revolutionary War","World War I","World War II","Civil War","D","The Civil War was fought by the United States in the 1800s.","History"
"Name the U.S. war between the North and the South.","Revolutionary War","War of 1812","Civil War","World War I","C","The Civil War was between the North and the South.","History"
"Name one problem that led to the Civil War.","taxation without representation","economic reasons","states' rights","slavery","D","Slavery was one problem that led to the Civil War.","History"
"What was one important thing that Abraham Lincoln did?","freed the slaves","led the Continental Army","was the main writer of the Declaration of Independence","wrote the Constitution","A","Abraham Lincoln freed the slaves (Emancipation Proclamation).","History"
"What did the Emancipation Proclamation do?","ended the Civil War","freed the slaves","gave women the right to vote","ended World War I","B","The Emancipation Proclamation freed the slaves.","History"
"What did Susan B. Anthony do?","fought for women's rights","fought for civil rights","fought for the rights of Native Americans","fought for the rights of farm workers","A","Susan B. Anthony fought for women's rights.","History"
"Name one war fought by the United States in the 1900s.","Civil War","Revolutionary War","War of 1812","World War I","D","World War I was fought by the United States in the 1900s.","History"
"Who was President during World War I?","Theodore Roosevelt","Woodrow Wilson","Franklin Roosevelt","Harry Truman","B","Woodrow Wilson was President during World War I.","History"
"Who was President during the Great Depression and World War II?","Theodore Roosevelt","Woodrow Wilson","Franklin Roosevelt","Harry Truman","C","Franklin Roosevelt was President during the Great Depression and World War II.","History"
"Who did the United States fight in World War II?","Germany, Italy, and Japan","Soviet Union","France","Great Britain","A","The United States fought Germany, Italy, and Japan in World War II.","History"
"What was the main concern of the United States during the Cold War?","Nazism","Communism","Fascism","Socialism","B","The main concern of the United States during the Cold War was Communism.","History"
"What movement tried to end racial discrimination?","labor movement","civil rights movement","women's suffrage movement","temperance movement","B","The civil rights movement tried to end racial discrimination.","History"
"What did Martin Luther King Jr. do?","fought for civil rights","fought for women's rights","fought for workers' rights","fought for Native American rights","A","Martin Luther King Jr. fought for civil rights.","History"
"What major event happened on September 11, 2001, in the United States?","Pearl Harbor was attacked","President Kennedy was assassinated","Terrorists attacked the United States","The Civil War began","C","Terrorists attacked the United States on September 11, 2001.","History"
"Name one American Indian tribe in the United States.","Cherokee","Sioux","Navajo","Apache","A","Cherokee is one American Indian tribe (all options are correct).","History"
"Name one of the two longest rivers in the United States.","Colorado River","Rio Grande","Missouri River","Mississippi River","D","The Mississippi River is one of the two longest rivers in the United States.","Geography"
"What ocean is on the West Coast of the United States?","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean","D","The Pacific Ocean is on the West Coast of the United States.","Geography"
"What ocean is on the East Coast of the United States?","Pacific Ocean","Indian Ocean","Arctic Ocean","Atlantic Ocean","D","The Atlantic Ocean is on the East Coast of the United States.","Geography"
"Name one U.S. territory.","Hawaii","Alaska","Puerto Rico","Florida","C","Puerto Rico is a U.S. territory.","Geography"
"Name the states that border Canada.","California, Oregon, Washington","Maine, New Hampshire, Vermont","Alaska, Washington, Idaho","New York, Vermont, New Hampshire","C","Alaska, Washington, Idaho (and others) border Canada.","Geography"
"Name one state that borders Mexico.","Arizona","Nevada","Utah","Colorado","A","Arizona borders Mexico.","Geography"
"What is the capital of the United States?","New York City","Philadelphia","Boston","Washington D.C.","D","Washington D.C. is the capital of the United States.","Geography"
"Where is the Statue of Liberty?","Boston Harbor","San Francisco Bay","New York Harbor","Chesapeake Bay","C","The Statue of Liberty is in New York Harbor.","Geography"
"Why does the flag have 13 stripes?","because there were 13 original colonies","because the stripes represent the 13 signers of the Declaration of Independence","because the stripes represent the 13 members of the Second Continental Congress","because the stripes represent the 13 original states","A","The flag has 13 stripes because there were 13 original colonies.","Symbols"
"Why does the flag have 50 stars?","because there are 50 original colonies","because each star represents a state","because there are 50 signers of the Declaration of Independence","because each star represents a President","B","Each star represents a state.","Symbols"
"What is the name of the national anthem?","America the Beautiful","God Bless America","The Star-Spangled Banner","My Country Tis of Thee","C","The Star-Spangled Banner is the name of the national anthem.","Symbols"
"When do we celebrate Independence Day?","January 1","July 4","December 25","November 11","B","We celebrate Independence Day on July 4.","Holidays"
"Name two national U.S. holidays.","Christmas and Easter","Thanksgiving and Labor Day","New Year's Day and Independence Day","Memorial Day and Veterans Day","C","New Year's Day and Independence Day are national U.S. holidays.","Holidays"
"What is one reason colonists came to America?","religious freedom","political freedom","economic opportunity","escape persecution","A","Religious freedom was one reason colonists came to America.","History"
"Who lived in America before the Europeans arrived?","Native Americans","Spanish","French","British","A","Native Americans lived in America before the Europeans arrived.","History"
"What group of people was taken to America and sold as slaves?","Native Americans","Europeans","Africans","Asians","C","Africans were taken to America and sold as slaves.","History"
"Why did the colonists fight the British?","because of high taxes","because they had no say in government","because the British army stayed in their houses","all of the above","D","All of the above were reasons colonists fought the British.","History"
"Who wrote the Declaration of Independence?","George Washington","Thomas Jefferson","Benjamin Franklin","John Adams","B","Thomas Jefferson wrote the Declaration of Independence.","History"
"When was the Declaration of Independence adopted?","July 4, 1775","July 4, 1776","July 4, 1777","July 4, 1778","B","The Declaration of Independence was adopted on July 4, 1776.","History"
"There were 13 original states. Name three.","Virginia, Massachusetts, New York","Pennsylvania, Georgia, Maryland","Delaware, Connecticut, New Jersey","all of the above","D","All of the above are correct combinations of original states.","History"
"What happened at the Constitutional Convention?","The Declaration of Independence was written","The Constitution was written","The Bill of Rights was written","The Revolutionary War ended","B","The Constitution was written at the Constitutional Convention.","History"
"When was the Constitution written?","1776","1781","1787","1791","C","The Constitution was written in 1787.","History"
"The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.","Alexander Hamilton","James Madison","John Jay","all of the above","D","Alexander Hamilton, James Madison, and John Jay all wrote Federalist Papers.","History"